ticker,cik,name,exchange,10K_files,10Q_files,k_count,q_count,total,GICS Sector,GICS Sub-Industry,Date first added,Founded
OGN,1821825.0,Organon & Co.,NYSE,[],"['0001821825-21-000009', '0001821825-21-000005']",0,2,2.0,Health Care,Pharmaceuticals,6/3/2021,2021.0
NI,1111711.0,NISOURCE INC.,NYSE,"['0001174947-21-000255', '0001111711-21-000010', '0001174947-20-000354', '0001111711-20-000013', '0001174947-19-000367', '0001111711-19-000008', '0001174947-18-000312', '0001111711-18-000008', '0001174947-17-000571', '0001111711-17-000011', '0001111711-16-000049', '0001111711-15-000008', '0001111711-13-000007', '0000950123-11-019598', '0000950123-10-017958', '0000950152-09-001944', '0000950137-08-003307', '0000950137-07-003072', '0000950134-06-004660', '0000950137-05-002819', '0000950137-04-001796', '0000893220-03-000230', '0000893220-02-000181']","['0001174947-21-001005', '0001111711-21-000036', '0001111711-21-000029', '0001174947-21-000750', '0001174947-21-000500', '0001111711-21-000018', '0001174947-20-001096', '0001111711-20-000047', '0001174947-20-000869', '0001111711-20-000036', '0001174947-20-000638', '0001111711-20-000022', '0001174947-19-001160', '0001111711-19-000041', '0001174947-19-000963', '0001111711-19-000034', '0001174947-19-000654', '0001111711-19-000022', '0001174947-18-001364', '0001111711-18-000049', '0001174947-18-001074', '0001111711-18-000034', '0001174947-18-000725', '0001111711-18-000021', '0001174947-17-001544', '0001111711-17-000060', '0001174947-17-001200', '0001111711-17-000052', '0001174947-17-000865', '0001111711-17-000032', '0001111711-16-000084', '0001111711-16-000078', '0001111711-16-000064', '0001111711-15-000037', '0001111711-15-000030', '0001111711-15-000022', '0001111711-14-000063', '0001111711-14-000052', '0001111711-14-000036', '0001111711-13-000050', '0001111711-13-000038', '0001111711-13-000021', '0001111711-12-000011', '0001193125-12-324979', '0001193125-12-199491', '0001193125-11-285590', '0000950123-11-071412', '0000950123-11-043546', '0000950123-10-097945', '0000950123-10-071671', '0000950123-10-043358', '0000950123-09-055295', '0000950123-09-029492', '0000950137-09-003509', '0000950137-08-013400', '0000950137-08-010113', '0000950137-08-006593', '0000950137-07-016481', '0000950134-07-016678', '0000950137-07-006784', '0000950137-06-011743', '0000950137-06-005428', '0000950134-05-020465', '0000950137-05-005438', '0000950137-04-009316', '0000950137-04-006309', '0000950137-04-003737', '0000950137-03-005772', '0000950137-03-004186', '0000950137-03-002776', '0000893220-02-001364', '0000893220-02-001000', '0000893220-02-000609', '0000893220-01-500838', '0000893220-01-500533', '0000893220-01-500163']",23,76,99.0,Utilities,Multi-Utilities,,1912.0
GIS,40704.0,GENERAL MILLS INC,NYSE,"['0001193125-21-204830', '0001193125-20-186469', '0001193125-19-184675', '0001193125-18-209377', '0001193125-17-217396', '0001193125-16-638404', '0001193125-15-245476', '0001193125-14-260716', '0001193125-13-282371', '0001193125-12-293636', '0000950123-10-064517', '0000950123-09-021887', '0000950137-08-009268', '0000897101-07-001522', '0000897101-06-001513', '0000897101-05-001694', '0000897101-04-001455', '0000897101-03-000909', '0000897101-02-000567']","['0001193125-21-279392', '0001193125-21-092576', '0001193125-20-320164', '0001193125-20-252378', '0001193125-20-077160', '0001193125-19-317557', '0001193125-19-248132', '0001193125-19-080962', '0001193125-18-353281', '0001193125-18-276507', '0001193125-18-090832', '0001193125-17-374688', '0001193125-17-289410', '0001193125-17-090879', '0001193125-16-798939', '0001193125-16-716004', '0001193125-16-515116', '0001193125-15-406352', '0001193125-15-326176', '0001193125-15-096983', '0001193125-14-445397', '0001193125-14-345796', '0001193125-14-105810', '0001193125-13-477790', '0001193125-13-370415', '0001193125-13-117256', '0001193125-12-508388', '0001193125-12-396943', '0001193125-12-125489', '0001193125-11-347162', '0001193125-11-253354', '0000950123-11-028211', '0000950123-10-114560', '0000950123-10-088122', '0000950123-10-027743', '0000950123-09-071898', '0000950123-09-045366', '0000950137-09-002011', '0000950137-08-014460', '0000950137-08-011679', '0000897101-08-000662', '0000897101-07-002742', '0000897101-07-001957', '0000897101-07-000714', '0000897101-07-000053', '0000897101-06-001997', '0000897101-06-000713', '0000897101-06-000047', '0000897101-05-002102', '0000897101-05-000891', '0000897101-05-000060', '0000897101-04-002037', '0000897101-04-000682', '0000897101-04-000033', '0000897101-03-001221', '0000897101-03-000277', '0000897101-03-000006', '0000897101-02-000687', '0000897101-02-000250', '0000897101-02-000005', '0000897101-01-500645', '0000897101-01-500115']",19,62,81.0,Consumer Staples,Packaged Foods & Meats,3/31/1969,1856.0
D,715957.0,"DOMINION ENERGY, INC",NYSE,"['0001104659-21-042324', '0000929638-21-000493', '0000929638-21-000489', '0000929638-21-000485', '0000929638-21-000497', '0001098151-21-000013', '0001564590-21-008442', '0000882184-20-000143', '0000929638-20-000453', '0000929638-20-000456', '0000929638-20-000460', '0000929638-20-000447', '0001104659-20-039424', '0001098151-20-000008', '0001193125-20-054469', '0000882184-19-000147', '0001144204-19-016159', '0000929638-19-000396', '0000929638-19-000393', '0000929638-19-000388', '0001098151-19-000009', '0001193125-19-057924', '0000882184-18-000120', '0000929638-18-000409', '0000929638-18-000401', '0001098151-18-000009', '0001193125-18-059578', '0000882184-17-000103', '0001104659-17-019967', '0000929638-17-000398']","['0001564590-21-054856', '0001213900-21-042535', '0001098151-21-000036', '0001564590-21-041966', '0000882184-21-000152', '0001213900-21-028791', '0001098151-21-000024', '0001564590-21-023081', '0000882184-21-000126', '0000882184-21-000021', '0001564590-20-051677', '0001098151-20-000063', '0001098151-20-000049', '0001564590-20-036451', '0000882184-20-000112', '0001098151-20-000039', '0001564590-20-021084', '0000882184-20-000099', '0000882184-20-000017', '0001098151-19-000046', '0001564590-19-039434', '0001098151-19-000040', '0001564590-19-027723', '0000882184-19-000107', '0001098151-19-000029', '0001564590-19-015583', '0000882184-19-000096', '0000882184-19-000022', '0001098151-18-000042', '0001564590-18-026483', '0001098151-18-000033', '0001564590-18-018690', '0000882184-18-000083', '0001098151-18-000023', '0001564590-18-010863', '0000882184-18-000075', '0000882184-18-000019', '0001098151-17-000056', '0001564590-17-020637', '0001098151-17-000038', '0001564590-17-015133', '0000882184-17-000080', '0001098151-17-000027', '0001193125-17-157920', '0000882184-17-000073', '0000882184-17-000020', '0001193125-16-763981', '0001098151-16-000087', '0001193125-16-669379', '0001098151-16-000076', '0000882184-16-000178', '0001098151-16-000070', '0001193125-16-579092', '0000882184-16-000164', '0000882184-16-000122', '0001098151-15-000045', '0001193125-15-363617', '0001098151-15-000038', '0001193125-15-280118', '0000882184-15-000064', '0001098151-15-000029', '0001193125-15-170979', '0000882184-15-000051', '0000882184-15-000017', '0001098151-14-000051', '0001098151-14-000037', '0001193125-14-287078', '0000882184-14-000070', '0001098151-14-000024', '0001193125-14-171734', '0000882184-14-000057', '0000882184-14-000024', '0001098151-13-000011', '0001193125-13-427104', '0001562762-13-000244', '0001193125-13-321004', '0000882184-13-000053', '0001144204-13-028177', '0000215466-13-000076', '0001193125-13-172823', '0000882184-13-000012', '0001144204-12-060961', '0000215466-12-000044', '0001193125-12-435134', '0001144204-12-044315', '0000215466-12-000021', '0001193125-12-327880', '0000882184-12-000031', '0001144204-12-029649', '0000215466-12-000006', '0001193125-12-185437', '0001193125-12-175867', '0001193125-12-027358', '0001144204-11-069989', '0000950123-11-098408', '0001193125-11-298648', '0001193125-11-285781', '0001193125-11-242386', '0000950123-11-077516', '0001224952-11-000006']",30,100,130.0,Utilities,Electric Utilities,,1983.0
GL,320335.0,GLOBE LIFE INC.,NYSE,"['0000320335-21-000010', '0000320335-20-000008', '0000320335-19-000006', '0000320335-18-000006', '0000320335-17-000010', '0000320335-16-000059', '0001193125-15-069449', '0001193125-14-076801', '0001193125-13-084290', '0001193125-12-085031', '0001193125-11-049737', '0001193125-10-042810', '0001193125-09-040782', '0001193125-08-043419', '0001193125-07-043904', '0001193125-06-046266', '0001193125-05-051197', '0001193125-04-042167', '0000931763-03-000621', '0000931763-02-000748']","['0000320335-21-000050', '0000320335-21-000040', '0000320335-21-000024', '0000320335-20-000055', '0000320335-20-000039', '0000320335-20-000031', '0001683168-20-000308', '0000320335-19-000041', '0000320335-19-000034', '0000320335-19-000015', '0000320335-18-000045', '0000320335-18-000033', '0000320335-18-000016', '0000320335-17-000044', '0000320335-17-000029', '0000320335-17-000018', '0000320335-16-000098', '0000320335-16-000092', '0000320335-16-000078', '0000320335-15-000045', '0000320335-15-000035', '0000320335-15-000013', '0001193125-14-402773', '0001193125-14-191468', '0001193125-13-434167', '0001193125-13-326079', '0001193125-13-210593', '0001193125-12-460061', '0001193125-12-342840', '0001193125-12-221919', '0001193125-11-301448', '0001193125-11-213567', '0001193125-11-131793', '0001193125-10-251848', '0001193125-10-181240', '0001193125-10-112180', '0001193125-09-227080', '0001193125-09-168413', '0001193125-09-105258', '0001193125-08-229885', '0001193125-08-171953', '0001193125-08-110923', '0001193125-07-239575', '0001193125-07-175075', '0001193125-07-107532', '0001193125-06-227873', '0001193125-06-165709', '0001193125-06-102126', '0001193125-05-219580', '0001193125-05-158726', '0001193125-05-100284', '0001193125-04-190456', '0001193125-04-134156', '0001193125-04-082033', '0001193125-03-078307', '0001193125-03-034329', '0000931763-03-001581', '0000931763-02-003414', '0000931763-02-002736', '0000931763-02-001770', '0000931763-01-502108', '0000931763-01-501466', '0000931763-01-500605']",20,63,83.0,Financials,Life & Health Insurance,4/30/1989,1900.0
IEX,832101.0,IDEX CORP /DE/,NYSE,"['0000832101-21-000017', '0000832101-20-000007', '0000832101-19-000005', '0000832101-18-000019', '0000832101-17-000016', '0000832101-16-000057', '0000832101-15-000009', '0001445305-14-000435', '0001193125-13-069436', '0000950123-11-018609', '0000950123-10-019117', '0000950137-09-001391', '0000950137-08-003071', '0000950137-07-003137', '0000950137-06-002615', '0000950137-05-002422', '0000950137-04-001504', '0000950137-03-001231']","['0000832101-21-000060', '0000832101-21-000053', '0000832101-21-000029', '0000832101-20-000039', '0000832101-20-000027', '0000832101-20-000014', '0000832101-19-000031', '0000832101-19-000024', '0000832101-19-000010', '0000832101-18-000045', '0000832101-18-000037', '0000832101-18-000027', '0000832101-17-000051', '0000832101-17-000037', '0000832101-17-000027', '0000832101-16-000093', '0000832101-16-000085', '0000832101-16-000067', '0000832101-15-000039', '0000832101-15-000031', '0000832101-15-000021', '0000832101-14-000009', '0001445305-14-001514', '0001445305-13-002609', '0001193125-13-318966', '0001193125-13-199528', '0001193125-12-449176', '0001193125-12-328998', '0001193125-12-218054', '0001193125-11-288786', '0000950123-11-074497', '0000950123-11-043713', '0000950123-10-100265', '0000950123-10-074296', '0000950123-10-044480', '0000950123-09-057549', '0000950123-09-031231', '0000950152-09-004927', '0000950137-08-013606', '0000950137-08-010399', '0000950137-08-007035', '0000950137-07-016840', '0000950137-07-011592', '0000950137-07-006915', '0000950137-06-012075', '0000950137-06-008859', '0000950137-06-005193', '0000950137-05-013577', '0000950137-05-009810', '0000950137-05-005525', '0000950137-04-009371', '0000950137-04-006194', '0000950137-04-003547', '0000950137-03-005789', '0000950137-03-004194', '0000950137-03-002868', '0000950137-02-006277', '0000950137-02-004406', '0000950137-02-002747', '0000950137-01-504443', '0000950137-01-502819', '0000950137-01-501409', '0000950137-00-004539', '0000950137-00-003567']",18,64,82.0,Industrials,Industrial Machinery,8/9/2019,1988.0
GOOG,1652044.0,Alphabet Inc.,Nasdaq,"['0001652044-21-000010', '0001652044-20-000008', '0001652044-19-000004', '0001652044-18-000007', '0001652044-17-000008', '0001652044-16-000012']","['0001652044-21-000057', '0001652044-21-000047', '0001652044-21-000020', '0001652044-20-000050', '0001652044-20-000032', '0001652044-20-000021', '0001652044-19-000032', '0001652044-19-000023', '0001652044-19-000015', '0001652044-18-000035', '0001652044-18-000027', '0001652044-18-000016', '0001652044-17-000042', '0001652044-17-000026', '0001652044-17-000014', '0001652044-16-000038', '0001652044-16-000032', '0001652044-16-000021', '0001652044-15-000005']",6,19,25.0,Communication Services,Interactive Media & Services,4/3/2006,1998.0
SIVB,719739.0,SVB FINANCIAL GROUP,Nasdaq,"['0000719739-21-000023', '0000719739-20-000016', '0000719739-19-000018', '0000719739-18-000011', '0000719739-17-000012', '0000719739-16-000073', '0000719739-15-000022', '0000719739-14-000012', '0000719739-13-000009', '0001193125-12-085818', '0001193125-11-047635', '0001193125-10-044799', '0001193125-09-042756', '0001193125-08-043869', '0001104659-07-015557', '0001104659-06-019224', '0001104659-05-011395', '0001104659-04-007053', '0001047469-03-007766', '0000912057-02-010546', '0000912057-01-504039']","['0000719739-21-000071', '0000719739-21-000060', '0000719739-21-000036', '0000719739-20-000074', '0000719739-20-000055', '0000719739-20-000036', '0000719739-19-000075', '0000719739-19-000052', '0000719739-19-000034', '0000719739-18-000049', '0000719739-18-000038', '0000719739-18-000024', '0000719739-17-000062', '0000719739-17-000049', '0000719739-17-000021', '0000719739-16-000114', '0000719739-16-000095', '0000719739-16-000085', '0000719739-15-000059', '0000719739-15-000048', '0000719739-15-000034', '0000719739-14-000044', '0000719739-14-000034', '0000719739-14-000021', '0000719739-13-000054', '0000719739-13-000040', '0000719739-13-000019', '0000719739-12-000011', '0001193125-12-344003', '0001193125-12-225234', '0001193125-11-297377', '0001193125-11-212416', '0001193125-11-130721', '0001193125-10-250157', '0001193125-10-181548', '0001193125-10-112861', '0001193125-09-227746', '0001193125-09-169253', '0001193125-09-105436', '0001193125-08-231745', '0001193125-08-170171', '0001193125-08-109999', '0001193125-07-242426', '0001193125-07-177464', '0001104659-07-038279', '0001104659-06-073678', '0001104659-06-053227', '0001104659-06-033375', '0001104659-05-063168', '0001104659-05-063169', '0001104659-05-022061', '0001047469-04-025818', '0001104659-04-013238', '0001104659-03-026710', '0001104659-03-018768', '0001104659-03-009338', '0001104659-02-005955', '0001104659-02-003752', '0001104659-02-002126', '0001104659-01-503220', '0001104659-01-501929', '0001104659-01-500837', '0000912057-00-049904', '0000912057-00-037307']",21,64,85.0,Financials,Regional Banks,3/19/2018,1983.0
YUM,1041061.0,YUM BRANDS INC,NYSE,"['0001564590-21-009460', '0001041061-21-000012', '0001564590-20-007403', '0001041061-20-000015', '0001564590-19-004944', '0001041061-19-000010', '0001564590-18-003524', '0001041061-18-000013', '0001564590-17-003681', '0001041061-17-000016', '0001041061-16-000056', '0001041061-15-000007', '0001041061-13-000007', '0001041061-12-000005', '0001041061-11-000009', '0001041061-10-000011', '0001041061-09-000077', '0001041061-08-000092', '0001041061-07-000140', '0001041061-06-000109', '0001041061-05-000102', '0001041061-04-000122', '0001041061-03-000003', '0001041061-02-000003', '0001041061-01-500003']","['0001564590-21-055031', '0001041061-21-000056', '0001564590-21-041869', '0001041061-21-000042', '0001564590-21-024421', '0001041061-21-000022', '0001564590-20-051640', '0001041061-20-000064', '0001564590-20-037176', '0001041061-20-000053', '0001564590-20-023189', '0001041061-20-000034', '0001564590-19-041988', '0001041061-19-000048', '0001041061-19-000033', '0001564590-19-028492', '0001564590-19-018249', '0001041061-19-000018', '0001564590-18-028240', '0001041061-18-000052', '0001564590-18-020158', '0001041061-18-000040', '0001041061-18-000026', '0001564590-18-010822', '0001041061-17-000065', '0001564590-17-019306', '0001041061-17-000057', '0001564590-17-013258', '0001041061-17-000038', '0001564590-17-006178', '0001564590-16-029416', '0001041061-16-000095', '0001041061-16-000084', '0001041061-16-000066', '0001041061-15-000033', '0001041061-15-000023', '0001041061-15-000015', '0001041061-14-000031', '0001041061-14-000023', '0001041061-14-000014', '0001041061-13-000044', '0001041061-13-000035', '0001041061-13-000020', '0001041061-12-000042', '0001041061-12-000035', '0001041061-12-000013', '0001041061-11-000052', '0001041061-11-000040', '0001041061-11-000017', '0001041061-10-000047', '0001041061-10-000035', '0001041061-10-000023', '0001041061-09-000240', '0001041061-09-000192', '0001041061-09-000143', '0001041061-08-000224', '0001041061-08-000197', '0001041061-08-000156', '0001041061-07-000282', '0001041061-07-000233', '0001041061-07-000186', '0001041061-06-000207', '0001041061-06-000176', '0001041061-06-000137', '0001041061-05-000297', '0001041061-05-000255', '0001041061-05-000154', '0001041061-04-000318', '0001041061-04-000246', '0001041061-04-000154', '0001041061-03-000137', '0001041061-03-000064', '0001041061-03-000005', '0001041061-02-000019', '0001157523-02-000674', '0001041061-02-000006', '0001041061-01-500017', '0001041061-01-500010', '0001041061-01-500008']",25,79,104.0,Consumer Discretionary,Restaurants,10/6/1997,1997.0
GOOG_1288776,,,,"['0001193125-05-065298', '0001193125-06-056598', '0001193125-07-044494', '0001193125-08-032690', '0001193125-09-029448', '0001193125-10-030774', '0001193125-11-032930', '0001193125-12-025336', '0001193125-13-028362', '0001288776-14-000020', '0001288776-15-000008', '0001652044-16-000012']","['0001193125-04-141838', '0001193125-04-197540', '0001193125-05-108755', '0001193125-05-168339', '0001193125-05-225524', '0001193125-06-107734', '0001193125-06-167945', '0001193125-06-228163', '0001193125-07-108436', '0001193125-07-175880', '0001193125-07-238468', '0001193125-08-111739', '0001193125-08-170309', '0001193125-08-230197', '0001193125-09-101727', '0001193125-09-163845', '0001193125-09-222384', '0001193125-10-108704', '0001193125-10-172387', '0001193125-10-241317', '0001193125-11-134428', '0001193125-11-199078', '0001193125-11-282235', '0001193125-12-182401', '0001193125-12-312575', '0001193125-12-440217', '0001288776-13-000030', '0001288776-13-000055', '0001288776-13-000068', '0001288776-14-000040', '0001288776-14-000065', '0001288776-14-000075', '0001288776-15-000023', '0001288776-15-000035', '0001288776-15-000046']",12,35,,,,,
